url	x	y	user	timestamp
file:///home/sol-nhl/dev/cce-web/web/py/index.html	974	384		2024-08-05 18:36:25.049
file:///home/sol-nhl/dev/cce-web/web/py/index.html	974	383		2024-08-05 18:36:25.063
file:///home/sol-nhl/dev/cce-web/web/py/index.html	974	383		2024-08-05 18:36:25.078
file:///home/sol-nhl/dev/cce-web/web/py/index.html	974	383		2024-08-05 18:36:25.095
file:///home/sol-nhl/dev/cce-web/web/py/index.html	973	383		2024-08-05 18:36:25.126
file:///home/sol-nhl/dev/cce-web/web/py/index.html	969	381		2024-08-05 18:36:25.143
file:///home/sol-nhl/dev/cce-web/web/py/index.html	965	380		2024-08-05 18:36:25.161
file:///home/sol-nhl/dev/cce-web/web/py/index.html	963	380		2024-08-05 18:36:25.177
file:///home/sol-nhl/dev/cce-web/web/py/index.html	959	379		2024-08-05 18:36:25.190
file:///home/sol-nhl/dev/cce-web/web/py/index.html	956	378		2024-08-05 18:36:25.205
file:///home/sol-nhl/dev/cce-web/web/py/index.html	953	377		2024-08-05 18:36:25.222
file:///home/sol-nhl/dev/cce-web/web/py/index.html	950	377		2024-08-05 18:36:25.243
file:///home/sol-nhl/dev/cce-web/web/py/index.html	947	377		2024-08-05 18:36:25.260
file:///home/sol-nhl/dev/cce-web/web/py/index.html	943	376		2024-08-05 18:36:25.277
file:///home/sol-nhl/dev/cce-web/web/py/index.html	940	375		2024-08-05 18:36:25.293
file:///home/sol-nhl/dev/cce-web/web/py/index.html	938	375		2024-08-05 18:36:25.309
file:///home/sol-nhl/dev/cce-web/web/py/index.html	937	374		2024-08-05 18:36:25.326
file:///home/sol-nhl/dev/cce-web/web/py/index.html	935	373		2024-08-05 18:36:25.338
file:///home/sol-nhl/dev/cce-web/web/py/index.html	933	371		2024-08-05 18:36:25.359
file:///home/sol-nhl/dev/cce-web/web/py/index.html	932	371		2024-08-05 18:36:25.377
file:///home/sol-nhl/dev/cce-web/web/py/index.html	932	371		2024-08-05 18:36:25.392
file:///home/sol-nhl/dev/cce-web/web/py/index.html	932	370		2024-08-05 18:36:25.409
file:///home/sol-nhl/dev/cce-web/web/py/index.html	931	368		2024-08-05 18:36:25.427
file:///home/sol-nhl/dev/cce-web/web/py/index.html	929	366		2024-08-05 18:36:25.443
file:///home/sol-nhl/dev/cce-web/web/py/index.html	929	365		2024-08-05 18:36:25.455
file:///home/sol-nhl/dev/cce-web/web/py/index.html	928	364		2024-08-05 18:36:25.476
file:///home/sol-nhl/dev/cce-web/web/py/index.html	928	363		2024-08-05 18:36:25.493
file:///home/sol-nhl/dev/cce-web/web/py/index.html	926	363		2024-08-05 18:36:26.024
file:///home/sol-nhl/dev/cce-web/web/py/index.html	917	363		2024-08-05 18:36:26.043
file:///home/sol-nhl/dev/cce-web/web/py/index.html	923	363		2024-08-05 18:36:26.031
file:///home/sol-nhl/dev/cce-web/web/py/index.html	911	358		2024-08-05 18:36:26.059
file:///home/sol-nhl/dev/cce-web/web/py/index.html	889	341		2024-08-05 18:36:26.076
file:///home/sol-nhl/dev/cce-web/web/py/index.html	875	333		2024-08-05 18:36:26.093
file:///home/sol-nhl/dev/cce-web/web/py/index.html	861	322		2024-08-05 18:36:26.109
file:///home/sol-nhl/dev/cce-web/web/py/index.html	851	318		2024-08-05 18:36:26.126
file:///home/sol-nhl/dev/cce-web/web/py/index.html	833	312		2024-08-05 18:36:26.148
file:///home/sol-nhl/dev/cce-web/web/py/index.html	823	307		2024-08-05 18:36:26.170
file:///home/sol-nhl/dev/cce-web/web/py/index.html	806	300		2024-08-05 18:36:26.183
file:///home/sol-nhl/dev/cce-web/web/py/index.html	788	295		2024-08-05 18:36:26.196
file:///home/sol-nhl/dev/cce-web/web/py/index.html	774	293		2024-08-05 18:36:26.213
file:///home/sol-nhl/dev/cce-web/web/py/index.html	756	290		2024-08-05 18:36:26.228
file:///home/sol-nhl/dev/cce-web/web/py/index.html	744	288		2024-08-05 18:36:26.248
file:///home/sol-nhl/dev/cce-web/web/py/index.html	727	285		2024-08-05 18:36:26.263
file:///home/sol-nhl/dev/cce-web/web/py/index.html	717	281		2024-08-05 18:36:26.279
file:///home/sol-nhl/dev/cce-web/web/py/index.html	707	275		2024-08-05 18:36:26.295
file:///home/sol-nhl/dev/cce-web/web/py/index.html	700	272		2024-08-05 18:36:26.314
file:///home/sol-nhl/dev/cce-web/web/py/index.html	685	269		2024-08-05 18:36:26.332
file:///home/sol-nhl/dev/cce-web/web/py/index.html	671	267		2024-08-05 18:36:26.345
file:///home/sol-nhl/dev/cce-web/web/py/index.html	665	266		2024-08-05 18:36:26.363
file:///home/sol-nhl/dev/cce-web/web/py/index.html	653	263		2024-08-05 18:36:26.379
file:///home/sol-nhl/dev/cce-web/web/py/index.html	644	262		2024-08-05 18:36:26.397
file:///home/sol-nhl/dev/cce-web/web/py/index.html	632	257		2024-08-05 18:36:26.413
file:///home/sol-nhl/dev/cce-web/web/py/index.html	622	255		2024-08-05 18:36:26.431
file:///home/sol-nhl/dev/cce-web/web/py/index.html	611	253		2024-08-05 18:36:26.447
file:///home/sol-nhl/dev/cce-web/web/py/index.html	606	251		2024-08-05 18:36:26.461
file:///home/sol-nhl/dev/cce-web/web/py/index.html	602	248		2024-08-05 18:36:26.478
file:///home/sol-nhl/dev/cce-web/web/py/index.html	599	246		2024-08-05 18:36:26.495
file:///home/sol-nhl/dev/cce-web/web/py/index.html	596	245		2024-08-05 18:36:26.518
file:///home/sol-nhl/dev/cce-web/web/py/index.html	593	244		2024-08-05 18:36:26.533
file:///home/sol-nhl/dev/cce-web/web/py/index.html	590	243		2024-08-05 18:36:26.549
file:///home/sol-nhl/dev/cce-web/web/py/index.html	586	243		2024-08-05 18:36:26.564
file:///home/sol-nhl/dev/cce-web/web/py/index.html	584	242		2024-08-05 18:36:26.578
file:///home/sol-nhl/dev/cce-web/web/py/index.html	583	241		2024-08-05 18:36:26.596
file:///home/sol-nhl/dev/cce-web/web/py/index.html	583	241		2024-08-05 18:36:26.613
file:///home/sol-nhl/dev/cce-web/web/py/index.html	583	241		2024-08-05 18:36:26.630
file:///home/sol-nhl/dev/cce-web/web/py/index.html	582	241		2024-08-05 18:36:28.345
file:///home/sol-nhl/dev/cce-web/web/py/index.html	581	241		2024-08-05 18:36:28.544
file:///home/sol-nhl/dev/cce-web/web/py/index.html	581	240		2024-08-05 18:36:34.125
file:///home/sol-nhl/dev/cce-web/web/py/index.html	581	240		2024-08-05 18:36:35.965
file:///home/sol-nhl/dev/cce-web/web/py/index.html	581	240		2024-08-05 18:36:36.098
file:///home/sol-nhl/dev/cce-web/web/py/index.html	581	240		2024-08-05 18:36:36.130
file:///home/sol-nhl/dev/cce-web/web/py/index.html	578	240		2024-08-05 18:36:36.147
file:///home/sol-nhl/dev/cce-web/web/py/index.html	575	241		2024-08-05 18:36:36.163
file:///home/sol-nhl/dev/cce-web/web/py/index.html	573	243		2024-08-05 18:36:36.180
file:///home/sol-nhl/dev/cce-web/web/py/index.html	572	244		2024-08-05 18:36:36.196
file:///home/sol-nhl/dev/cce-web/web/py/index.html	569	249		2024-08-05 18:36:36.217
file:///home/sol-nhl/dev/cce-web/web/py/index.html	566	252		2024-08-05 18:36:36.234
file:///home/sol-nhl/dev/cce-web/web/py/index.html	563	257		2024-08-05 18:36:36.250
